FECHA,PLU,DETALLE,VENTA
26/09/2024,7790773018649,toallitas humedas 50u,2000.0
02/12/2024,7790787002528,leche larga vida entera  1L,1900.0
28/10/2024,7790787004430,queso untable jamon 190g,2200.0
02/04/2025,7790787960514,yogur ent.frutilla 900g sachet,2000.0
28/01/2025,7790787960521,yogur ent.vainilla 900g sachet,1900.0
30/12/2024,7790787960545,yogur frutilla-kiwi 900g sache,1900.0
30/12/2024,7790787960552,yogur desc.frutilla 900g sache,1900.0
30/12/2024,7790787960569,yogur desc.vainilla 900g sache,1900.0
14/04/2025,7790787960637,yogur durazno 185g,1100.0
28/01/2025,7790787960774,yogur botella frutilla 950g,2300.0
31/03/2025,7790787960781,yogur descr. vainilla 950g bot,2200.0
28/01/2025,7790787960798,yogur bottella durazno 950g,2300.0
28/01/2025,7790787960804,yogur desc.frutilla 950g botel,2300.0
28/01/2025,7790787960811,yogur des.vainilla 950g botell,2300.0
05/07/2024,7790790120257,arveja 350g lata,600.0
05/07/2024,7790790120271,jardinera 350g,850.0
05/07/2024,7790790120288,primavera 220g,950.0
05/07/2024,7790790120318,choclo granos 350g,1600.0
05/07/2024,7790790120325,garbanzos 350g,950.0
02/07/2024,7790790120332,porotos lata 350g,900.0
29/03/2025,7790790120806,choclo cremoso blanco 350g,850.0
05/07/2024,7790790120837,choclo cremsos amarillo 350g,900.0
05/04/2025,7790813110401,levadura 50g,800.0
25/09/2024,7790813150131,levadura seca 10g,700.0
24/09/2024,7790828101579,jabon de tocador color mix,1900.0
16/09/2024,7790828104785,jabon tocador 3x80g,1900.0
06/05/2025,7790895000218,cola retornable,2700.0
21/03/2025,7790895000232,cola lata 354ml,1900.0
17/04/2025,7790895000430,cola,3100.0
13/02/2025,7790895000447,lima limon,3100.0
13/02/2025,7790895000454,naranja,3100.0
13/02/2025,7790895000720,manzana,1100.0
13/02/2025,7790895000737,multifruta,1100.0
13/02/2025,7790895000782,cola,1800.0
13/02/2025,7790895000829,lima limon,1800.0
13/02/2025,7790895000836,naranja,1800.0
06/05/2025,7790895000997,cola,4000.0
06/05/2025,7790895001000,lima limon,4000.0
06/05/2025,7790895001017,naranja,4000.0
17/04/2025,7790895001451,cola light,3100.0
13/02/2025,7790895001482,cola light,1800.0
06/05/2025,7790895001598,cola vidrio,2100.0
13/02/2025,7790895002748,cola original,1800.0
13/02/2025,7790895003288,pomelo,3100.0
13/02/2025,7790895003295,pera,3100.0
13/03/2025,7790895003301,manzana,2900.0
13/02/2025,7790895003318,uva,3100.0
13/02/2025,7790895003325,naranja,3100.0
06/05/2025,7790895005312,cola light,4000.0
06/05/2025,7790895006418,cola,5100.0
06/08/2024,7790895006715,agua tonica,2200.0
17/04/2025,7790895006951,naranja 2.25L,1600.0
08/04/2025,7790895007217,cola,3700.0
13/02/2025,7790895007248,lima limon,3700.0
13/02/2025,7790895007385,lima limon 2.25L,1500.0
13/02/2025,7790895007392,pomelo 2.25L,1500.0
13/02/2025,7790895009815,naranja tentacion,2700.0
13/02/2025,7790895009846,durazno delicioso,2700.0
13/02/2025,7790895009853,manzana rojo,2700.0
06/08/2024,7790895010088,pomelo sin azucar,2200.0
06/08/2024,7790895010095,pomelo,3000.0
09/05/2025,7790895063855,coca,1000.0
06/05/2025,7790895064111,naranja,5100.0
06/05/2025,7790895064128,lima limon,5100.0
06/05/2025,7790895064166,lima limon sin azucar,4000.0
13/02/2025,7790895064173,lima limon sin azucar,3100.0
13/02/2025,7790895067532,cola sin azucar,1800.0
17/04/2025,7790895067556,cola sin azucar,3100.0
06/05/2025,7790895067570,cola zero azucar,4000.0
06/08/2024,7790895640025,mountain blast 500m,1500.0
06/05/2025,7790895640438,cola sin azucar,5100.0
13/02/2025,7790895640452,manzana,2200.0
13/02/2025,7790895640469,pomelo,2200.0
13/02/2025,7790895640476,pera,2400.0
13/02/2025,7790895640483,manzana,2400.0
13/02/2025,7790895640490,pomelo,2400.0
06/08/2024,7790895641183,frutas tropicales 500ml,1500.0
17/04/2025,7790895641220,uva,2400.0
13/02/2025,7790895641237,naranja,2400.0
13/02/2025,7790895641534,durazno delicioso,3800.0
13/02/2025,7790895641596,naranja,1100.0
13/02/2025,7790895641800,naranja tentacion,3800.0
13/02/2025,7790895642029,naranja tentacion zero,1500.0
13/02/2025,7790895642081,cola original,1800.0
06/05/2025,7790895643743,soja manzana,1200.0
06/05/2025,7790895643750,naranja,1200.0
06/05/2025,7790895643767,soja frutas tropicales 200ml,1200.0
18/03/2025,7790895643835,soja manzana,3200.0
18/03/2025,7790895643842,soja naranja,3200.0
17/04/2025,7790895643866,soja frutas tropicales,3200.0
27/02/2025,7790895645778,agua sin gas 591ml,1250.0
13/03/2025,7790895647017,mazana 1l,2000.0
